Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
;;;Ø12 мм;Ø4 мм;4.088;70.31
;;;Ø14 мм;Ø3 мм;4.560;90.00
;;;Ø10 мм;Ø6 мм;4.793;99.69
;;;Ø14 мм;Ø4 мм;5.110;112.92
;;;Ø3 мм;Ø8 мм;5.208;116.98

2.6;0.4;0.1;Ø3 мм;Ø3 мм;0.888;-65.87
;;;Ø4 мм;Ø3 мм;1.025;-60.58
;;;Ø6 мм;Ø3 мм;1.418;-45.48
;;;Ø3 мм;Ø4 мм;1.438;-44.71
;;;Ø4 мм;Ø4 мм;1.575;-39.42
;;;Ø6 мм;Ø4 мм;1.967;-24.33
;;;Ø8 мм;Ø3 мм;1.968;-24.33
;;;Ø8 мм;Ø4 мм;2.517;-3.17
;;;Ø10 мм;Ø3 мм;2.673;2.79
;;;Ø3 мм;Ø6 мм;3.007;15.67
;;;Ø4 мм;Ø6 мм;3.145;20.96
;;;Ø10 мм;Ø4 мм;3.223;23.94
;;;Ø6 мм;Ø6 мм;3.537;36.06
;;;Ø12 мм;Ø3 мм;3.538;36.06
;;;Ø8 мм;Ø6 мм;4.088;57.21
;;;Ø12 мм;Ø4 мм;4.088;57.21
;;;Ø14 мм;Ø3 мм;4.560;75.38
;;;Ø10 мм;Ø6 мм;4.793;84.33
;;;Ø14 мм;Ø4 мм;5.110;96.54
;;;Ø3 мм;Ø8 мм;5.208;100.29

2.8;0.4;0.1;Ø3 мм;Ø3 мм;0.888;-68.30
;;;Ø4 мм;Ø3 мм;1.025;-63.39
;;;Ø6 мм;Ø3 мм;1.418;-49.37
;;;Ø3 мм;Ø4 мм;1.438;-48.66
;;;Ø4 мм;Ø4 мм;1.575;-43.75
;;;Ø6 мм;Ø4 мм;1.967;-29.73
;;;Ø8 мм;Ø3 мм;1.968;-29.73
;;;Ø8 мм;Ø4 мм;2.517;-10.09
;;;Ø10 мм;Ø3 мм;2.673;-4.55
;;;Ø3 мм;Ø6 мм;3.007;7.41
;;;Ø4 мм;Ø6 мм;3.145;12.32
;;;Ø10 мм;Ø4 мм;3.223;15.09
;;;Ø6 мм;Ø6 мм;3.537;26.34
;;;Ø12 мм;Ø3 мм;3.538;26.34
;;;Ø8 мм;Ø6 мм;4.088;45.98
;;;Ø12 мм;Ø4 мм;4.088;45.98
;;;Ø14 мм;Ø3 мм;4.560;62.86
;;;Ø10 мм;Ø6 мм;4.793;71.16
;;;Ø14 мм;Ø4 мм;5.110;82.50
;;;Ø3 мм;Ø8 мм;5.208;85.98

3;0.2;0.2;Ø3 мм;Ø3 мм;0.710;-76.33
;;;Ø3 мм;Ø4 мм;0.985;-67.17
;;;Ø4 мм;Ø3 мм;0.985;-67.17
;;;Ø4 мм;Ø4 мм;1.260;-58.00
;;;Ø3 мм;Ø6 мм;1.770;-41.00
;;;Ø6 мм;Ø3 мм;1.770;-41.00
;;;Ø4 мм;Ø6 мм;2.045;-31.83
;;;Ø6 мм;Ø4 мм;2.045;-31.83
;;;Ø6 мм;Ø6 мм;2.830;-5.67
